artist,songs,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
Jontte Valosaari,Jos Mä Oisin Sun Mies - feat. Elastinen,spotify:track:5R49oIawez10oRPJTBpOVB,0.705,0.934,0,-4.347,1,0.0958,0.0975,0.0,0.0815,0.554,140.036,audio_features,5R49oIawez10oRPJTBpOVB,https://api.spotify.com/v1/tracks/5R49oIawez10oRPJTBpOVB,https://api.spotify.com/v1/audio-analysis/5R49oIawez10oRPJTBpOVB,196306,4
Train,50 Ways to Say Goodbye,spotify:track:0bQXIksOCU5MUqcddOan3K,0.591,0.935,6,-2.664,1,0.0478,0.000284,0.000278,0.142,0.736,140.043,audio_features,0bQXIksOCU5MUqcddOan3K,https://api.spotify.com/v1/tracks/0bQXIksOCU5MUqcddOan3K,https://api.spotify.com/v1/audio-analysis/0bQXIksOCU5MUqcddOan3K,247947,4
Laura Närhi,Tuhlari,spotify:track:0m534fJpZ3GwdcFPgyVBB2,0.522,0.67,0,-9.108,1,0.0475,0.0115,0.226,0.11,0.224,130.543,audio_features,0m534fJpZ3GwdcFPgyVBB2,https://api.spotify.com/v1/tracks/0m534fJpZ3GwdcFPgyVBB2,https://api.spotify.com/v1/audio-analysis/0m534fJpZ3GwdcFPgyVBB2,281587,4
R.I.O.,Party Shaker (feat. Nicco) - Video Edit,spotify:track:2Ahc1A0I2m8dpXEDv2zySw,0.673,0.912,7,-4.248,1,0.0334,0.00939,2.87e-06,0.0525,0.968,128.015,audio_features,2Ahc1A0I2m8dpXEDv2zySw,https://api.spotify.com/v1/tracks/2Ahc1A0I2m8dpXEDv2zySw,https://api.spotify.com/v1/audio-analysis/2Ahc1A0I2m8dpXEDv2zySw,207853,4
Far East Movement,Turn Up The Love,spotify:track:4HQ9gXAtONKs8NCM0MFUTu,0.752,0.872,6,-4.186,1,0.117,0.12,0.0,0.234,0.677,123.888,audio_features,4HQ9gXAtONKs8NCM0MFUTu,https://api.spotify.com/v1/tracks/4HQ9gXAtONKs8NCM0MFUTu,https://api.spotify.com/v1/audio-analysis/4HQ9gXAtONKs8NCM0MFUTu,195960,4
will.i.am,This Is Love,spotify:track:6zX1edWck5DxIBWQMOUXO5,0.523,0.804,0,-3.609,0,0.0471,0.00421,0.0,0.242,0.313,129.035,audio_features,6zX1edWck5DxIBWQMOUXO5,https://api.spotify.com/v1/tracks/6zX1edWck5DxIBWQMOUXO5,https://api.spotify.com/v1/audio-analysis/6zX1edWck5DxIBWQMOUXO5,280947,4
Christina Aguilera,Your Body,spotify:track:2wlsVxwdh8fd6T6KItRORA,0.593,0.781,8,-5.292,0,0.0547,0.000739,0.0,0.224,0.575,103.024,audio_features,2wlsVxwdh8fd6T6KItRORA,https://api.spotify.com/v1/tracks/2wlsVxwdh8fd6T6KItRORA,https://api.spotify.com/v1/audio-analysis/2wlsVxwdh8fd6T6KItRORA,240000,4
CAZZETTE,Beam Me Up (Kill Mode) (Radio Edit),spotify:track:3tBHQJmuE0BOKR7l4Anap5,0.568,0.878,0,-3.156,1,0.0447,0.00838,3.3e-06,0.0896,0.28,125.967,audio_features,3tBHQJmuE0BOKR7l4Anap5,https://api.spotify.com/v1/tracks/3tBHQJmuE0BOKR7l4Anap5,https://api.spotify.com/v1/audio-analysis/3tBHQJmuE0BOKR7l4Anap5,203810,4
Jannika B,Seuraavaan elämään,spotify:track:6gWJDpIJplIY5aqWoD0W1m,0.514,0.691,7,-6.601,0,0.0433,0.0164,0.000464,0.112,0.501,89.923,audio_features,6gWJDpIJplIY5aqWoD0W1m,https://api.spotify.com/v1/tracks/6gWJDpIJplIY5aqWoD0W1m,https://api.spotify.com/v1/audio-analysis/6gWJDpIJplIY5aqWoD0W1m,209520,4
Alesso,Years - ラジオ・エディット,spotify:track:2YBnNbMOUUSkqncnQgkqST,0.37,0.823,2,-6.245,1,0.0805,0.00234,1.91e-06,0.174,0.323,128.008,audio_features,2YBnNbMOUUSkqncnQgkqST,https://api.spotify.com/v1/tracks/2YBnNbMOUUSkqncnQgkqST,https://api.spotify.com/v1/audio-analysis/2YBnNbMOUUSkqncnQgkqST,195480,4
Isac Elliot,New Way Home,spotify:track:21s9z2X9Mvf2Vfi5X6RCkf,0.56,0.716,1,-8.354,0,0.0721,0.00362,0.0,0.105,0.531,126.032,audio_features,21s9z2X9Mvf2Vfi5X6RCkf,https://api.spotify.com/v1/tracks/21s9z2X9Mvf2Vfi5X6RCkf,https://api.spotify.com/v1/audio-analysis/21s9z2X9Mvf2Vfi5X6RCkf,220373,4
Alexis Jordan,Acid Rain,spotify:track:33zraYoCg6Rl7uIodYLdGG,0.707,0.799,5,-2.912,0,0.031,0.0314,4.52e-06,0.0989,0.628,127.981,audio_features,33zraYoCg6Rl7uIodYLdGG,https://api.spotify.com/v1/tracks/33zraYoCg6Rl7uIodYLdGG,https://api.spotify.com/v1/audio-analysis/33zraYoCg6Rl7uIodYLdGG,216480,4
Flo Rida,Let It Roll,spotify:track:72yHcYTFilEkFY1cJigOaE,0.701,0.915,4,-3.887,0,0.128,0.171,0.0,0.394,0.698,127.101,audio_features,72yHcYTFilEkFY1cJigOaE,https://api.spotify.com/v1/tracks/72yHcYTFilEkFY1cJigOaE,https://api.spotify.com/v1/audio-analysis/72yHcYTFilEkFY1cJigOaE,194453,4
Lady Gaga,Applause,spotify:track:5I9Py57H8vqanuNhUVcLHN,0.667,0.771,7,-4.269,0,0.052,0.0299,1.16e-06,0.0998,0.688,139.951,audio_features,5I9Py57H8vqanuNhUVcLHN,https://api.spotify.com/v1/tracks/5I9Py57H8vqanuNhUVcLHN,https://api.spotify.com/v1/audio-analysis/5I9Py57H8vqanuNhUVcLHN,212493,4
Robin,Boom Kah,spotify:track:7h0rft1UCD1yp3Mv2v7I3f,0.727,0.859,7,-4.618,1,0.106,0.0142,0.0,0.323,0.642,103.961,audio_features,7h0rft1UCD1yp3Mv2v7I3f,https://api.spotify.com/v1/tracks/7h0rft1UCD1yp3Mv2v7I3f,https://api.spotify.com/v1/audio-analysis/7h0rft1UCD1yp3Mv2v7I3f,194013,4
Kingston Crew,Don't You Know It's True - Radio edit,spotify:track:2Fc5nXI9LhZjU7phJF4y81,0.616,0.741,9,-5.365,0,0.0448,0.102,0.0,0.214,0.815,127.959,audio_features,2Fc5nXI9LhZjU7phJF4y81,https://api.spotify.com/v1/tracks/2Fc5nXI9LhZjU7phJF4y81,https://api.spotify.com/v1/audio-analysis/2Fc5nXI9LhZjU7phJF4y81,179560,4
